paper_id,title,public_status,doi,doi_url,version,publication_date,evidence_level,github_pdf_policy,local_upload_package_sha256,forbidden_claims
Portfolio,Wisdom Science Research Portfolio,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20027295,https://doi.org/10.5281/zenodo.20027295,,2026-05-04,portfolio_index,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not treat portfolio index as full evidence by itself; do not use portfolio page as proof of private operational capability
P00,SOVEREIGN: A Cognitive Operating System for Self-Evolving AI Agents,PUBLIC_ZENODO_RECORD,10.5281/zenodo.19793250,https://doi.org/10.5281/zenodo.19793250,,2026-04-26,public_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not infer private operating systems from public architecture notes; do not claim production deployment from preprint alone
P01-current,Cognitive Immunity,PUBLIC_ZENODO_RECORD,10.5281/zenodo.19791688,https://doi.org/10.5281/zenodo.19791688,,2026-04-26,public_preprint_current_p01,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not mix with legacy Reflexive Intelligence as current P01
P01-legacy,Reflexive Intelligence,LEGACY_PUBLIC_ZENODO_RECORD,10.5281/zenodo.19557261,https://doi.org/10.5281/zenodo.19557261,v1.0,2026-04-13,legacy_record,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not cite as current P01 without legacy label
P02,WisdomBench,PUBLIC_ZENODO_RECORD,10.5281/zenodo.19793098,https://doi.org/10.5281/zenodo.19793098,,2026-04-26,public_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not mix non-public materials with the public record
P03,The Intelligence-Wisdom Gap,PUBLIC_ZENODO_RECORD,10.5281/zenodo.19793366,https://doi.org/10.5281/zenodo.19793366,,2026-04-26,public_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not soften recovery candidate status into acceptance
P04,The Second Scaling Law,PUBLIC_ZENODO_RECORD,10.5281/zenodo.19895990,https://doi.org/10.5281/zenodo.19895990,,2026-04-29,public_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not present theory as universal empirical law without boundary
P05,Physical Second Scaling Law,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20028053,https://doi.org/10.5281/zenodo.20028053,v2,2026-05-05,corl_public_asset,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim real robot deployment; do not claim full SOTA domination
P06,WisdomBench-Embodied RLBench,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20028470,https://doi.org/10.5281/zenodo.20028470,,2026-05-05,corl_public_asset,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not merge with P05 DOI; do not claim public VLA leaderboard
P07,WisdomBench-Embodied LIBERO / VLA,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20028518,https://doi.org/10.5281/zenodo.20028518,,2026-05-05,corl_priority_asset,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim full benchmark domination
P08,Representation Genesis,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20028566,https://doi.org/10.5281/zenodo.20028566,,2026-05-05,workshop_route_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim priority over all compression research
P09,Embodied Failure Immunity,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20028687,https://doi.org/10.5281/zenodo.20028687,,2026-05-05,robot_safety_route_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim full trained-policy improvement
P10,Cybernetic Teaching,PUBLIC_ZENODO_RECORD,10.5281/zenodo.20094848,https://doi.org/10.5281/zenodo.20094848,,2026-05-07,public_preprint,DO_NOT_MIRROR_BY_DEFAULT; LINK_TO_DOI,,do not claim deployed teaching controller
